top - 21:37:33 up 2 days,  2:31,  2 users,  load average: 1,11, 1,56, 1,43
Tasks: 381 total,   1 running, 380 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5,6 us,  3,5 sy,  0,0 ni, 90,8 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  15800,3 total,    640,3 free,   8206,7 used,   6953,3 buff/cache
MiB Swap:      0,0 total,      0,0 free,      0,0 used.   6649,2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1188 root      20   0    2892   1688   1584 S   0,0   0,0   0:00.33 run-cup+
   1190 root      20   0    2892   1696   1616 S   0,0   0,0   0:00.39 run-cup+
   1199 root      20   0   80672  15892  13328 S   0,0   0,1   0:01.79 winbindd
   1217 root      20   0 2089388  21844   7920 S   0,0   0,1   1:18.83 contain+
   1238 root      20   0   15436   9124   7496 S   0,0   0,1   0:00.01 sshd
   1239 mosquit+  20   0   15732   8280   7196 S   0,0   0,1   0:41.47 mosquit+
   1242 root      20   0   10664   5068   4492 S   0,0   0,0   0:00.30 bluetoo+
   1250 root      20   0  120744  23164  14400 S   0,0   0,1   0:00.18 unatten+
   1255 colord    20   0  321808  13212   9364 S   0,0   0,1   0:00.59 colord
   1259 root      20   0   17276   2352   1664 S   0,0   0,0   0:00.00 xrdp-se+
   1307 root      20   0  245248   9536   7704 S   0,0   0,1   0:04.57 upowerd
   1309 root      20   0   81120  10676   8072 S   0,0   0,1   0:00.15 winbindd
   1326 xrdp      20   0   17396   2188   1468 S   0,0   0,0   0:00.00 xrdp
   1374 postgres  20   0  223528  29232  26448 S   0,0   0,2   0:01.62 postgres
   1456 postgres  20   0  223640   9592   6764 S   0,0   0,1   0:00.03 postgres
   1457 postgres  20   0  223528   8856   6044 S   0,0   0,1   0:00.77 postgres
   1458 postgres  20   0  223528  11736   8932 S   0,0   0,1   0:00.77 postgres
   1459 postgres  20   0  224092  10156   7040 S   0,0   0,1   0:00.71 postgres
   1460 postgres  20   0   78120   7368   4520 S   0,0   0,0   0:00.84 postgres
   1461 postgres  20   0  223956   9260   6220 S   0,0   0,1   0:00.04 postgres
   1481 root      20   0  235584  21208  14068 S   0,0   0,1   0:04.72 apache2
   1665 root      20   0   64708   7960   4820 S   0,0   0,0   0:01.16 cupsd
   1666 root      20   0  241688   5444   4164 S   0,0   0,0   0:01.14 cups-pr+
   1724 root      20   0    2892   1036    920 S   0,0   0,0   0:00.00 run-cup+
   1824 clamav    20   0  147740  19804  15668 S   0,0   0,1   0:01.01 freshcl+
   1826 root      20   0 3645860  43836   6816 S   0,0   0,3   0:25.55 dockerd
   1853 kernoops  20   0   13096   2300   1816 S   0,0   0,0   0:00.10 kernelo+
   1864 kernoops  20   0   13096   2296   1816 S   0,0   0,0   0:00.09 kernelo+
   1918 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
   1926 root      20   0       0      0      0 S   0,0   0,0   0:00.03 iprt-VB+
   1943 root      20   0  243884   8964   7784 S   0,0   0,1   0:00.11 gdm3
   1994 rtkit     21   1  154004   3428   3124 S   0,0   0,0   0:01.07 rtkit-d+
   2494 root      20   0  451100  50524  16712 S   0,0   0,3   0:15.38 package+
   2714 root      20   0  320868  11976   9504 S   0,0   0,1   0:00.37 gdm-ses+
   2754 monika    20   0   18348  11252   8276 S   0,0   0,1   0:07.81 systemd
   2755 monika    20   0  170748   6596   1672 S   0,0   0,0   0:00.00 (sd-pam)
   2761 monika     9 -11   42384   5388   4048 S   0,0   0,0   0:00.12 pipewire
   2762 monika    20   0   26152   5080   3824 S   0,0   0,0   0:00.13 pipewir+
   2763 monika     9 -11 3224844  30108  18264 S   0,0   0,2  46:40.23 pulseau+
   2772 monika    20   0  243936   8172   6584 S   0,0   0,1   0:00.75 gnome-k+
   2784 monika    20   0    9968   6240   4216 S   0,0   0,0   0:14.55 dbus-da+
   2788 monika    20   0  238688   6420   5848 S   0,0   0,0   0:00.04 xdg-per+
   2811 monika    20   0  164972   6400   5824 S   0,0   0,0   0:00.02 gdm-x-s+
   2813 monika    20   0 1694184 136196  80084 S   0,0   0,8  59:00.17 Xorg
   2867 monika    20   0  225580  15800  13896 S   0,0   0,1   0:00.08 gnome-s+
   2898 root      10 -10       0      0      0 S   0,0   0,0   0:00.00 krfcommd
   2958 monika    20   0  309816   8528   7576 S   0,0   0,1   0:00.03 at-spi-+
   2964 monika    20   0    8564   4720   4092 S   0,0   0,0   0:01.51 dbus-da+
   2980 monika    20   0   94448   5376   4992 S   0,0   0,0   0:00.00 gnome-s+
   2990 monika    20   0  243284   7960   6936 S   0,0   0,0   0:00.22 gvfsd
   3000 monika    20   0  522040  17820  14600 S   0,0   0,1   0:09.36 gnome-s+
   3057 monika    20   0   39132   5480   3968 S   0,0   0,0   0:00.18 snapd-d+
   3065 monika    20   0  583192  20844  17680 S   0,0   0,1   0:00.51 gnome-s+
   3079 monika    20   0 1074804  25304  21100 S   0,0   0,2   0:00.34 evoluti+
   3114 monika    20   0  599092  38276  30416 S   0,0   0,2   0:00.29 goa-dae+
   3132 monika    20   0 1383768  30048  25144 S   0,0   0,2   0:00.74 evoluti+
   3135 monika    20   0  877508  71512  50604 S   0,0   0,4   0:08.42 snapd-d+
   3136 monika    20   0  392504  11820   8988 S   0,0   0,1   0:01.43 gvfs-ud+
   3146 monika    20   0  340940  15348  13240 S   0,0   0,1   0:05.68 goa-ide+
   3160 monika    20   0  157208   6336   5456 S   0,0   0,0   0:00.06 dconf-s+
   3163 monika    20   0  756928  27908  24096 S   0,0   0,2   0:00.37 evoluti+
   3167 monika    20   0  240084   7120   6212 S   0,0   0,0   0:00.17 gvfs-gp+
   3173 monika    20   0  239184   6760   6016 S   0,0   0,0   0:00.14 gvfs-go+
   3181 monika    20   0  317764   8432   7252 S   0,0   0,1   0:03.69 gvfs-af+
   3188 monika    20   0  238996   6688   5988 S   0,0   0,0   0:00.17 gvfs-mt+
   3201 monika    20   0  324016  15984   7528 S   0,0   0,1   0:01.18 gvfsd-t+
   3225 monika    20   0 2933852  28212  22752 S   0,0   0,2   0:00.17 gjs
   3227 monika    20   0  162760   8428   7452 S   0,0   0,1   0:05.79 at-spi2+
   3243 monika    20   0  757400  12876  10172 S   0,0   0,1   0:02.82 xdg-des+
   3250 monika    20   0    2892   1800   1692 S   0,0   0,0   0:00.00 sh
   3251 monika    20   0  313012   7112   6308 S   0,0   0,0   0:01.71 gsd-a11+
   3254 monika    20   0  318008  12716   7040 S   0,0   0,1   1:14.37 ibus-da+
   3255 monika    20   0  613628  28980  21092 S   0,0   0,2   0:02.95 gsd-col+
   3258 monika    20   0  378060  16088  13892 S   0,0   0,1   0:01.70 gsd-dat+
   3261 monika    20   0  315296   9100   7280 S   0,0   0,1   0:06.37 gsd-hou+
   3264 monika    20   0  417780  24876  17432 S   0,0   0,2   0:02.29 gsd-key+
   3271 monika    20   0  867784  29780  21372 S   0,0   0,2   0:10.81 gsd-med+
   3279 monika    20   0  718996  30332  21868 S   0,0   0,2   0:06.85 gsd-pow+
   3280 monika    20   0  252524  11452   9772 S   0,0   0,1   0:01.80 gsd-pri+
   3284 monika    20   0  460396   6924   6076 S   0,0   0,0   0:01.87 gsd-rfk+
   3285 monika    20   0  238828   6308   5664 S   0,0   0,0   0:01.69 gsd-scr+
   3290 monika    20   0  314892   8100   6996 S   0,0   0,1   0:01.72 gsd-sma+
   3292 monika    20   0  321932   9968   8652 S   0,0   0,1   0:01.78 gsd-sou+
   3294 monika    20   0  506224  48444  35832 S   0,0   0,3   0:10.75 kdeconn+
   3296 monika    20   0  344356  25108  17396 S   0,0   0,2   0:02.50 gsd-wac+
   3300 monika    20   0 5106032  78048  24340 S   0,0   0,5   2:42.20 MathWor+
   3301 monika    20   0  346432  28060  19592 S   0,0   0,2   0:02.75 gsd-xse+
   3312 monika    20   0  316776   8348   7400 S   0,0   0,1   0:00.05 indicat+
   3313 monika    20   0 1444516  88064  57952 S   0,0   0,5   0:11.68 xdg-des+
   3315 monika    20   0  766592  65716  49108 S   0,0   0,4   0:00.88 evoluti+
   3339 monika    20   0  232284   8420   6248 S   0,0   0,1   0:00.04 gsd-dis+
   3349 monika    20   0  239868   7544   6748 S   0,0   0,0   0:00.01 ibus-dc+
   3353 monika    20   0  275192  30160  18316 S   0,0   0,2   0:26.40 ibus-ex+
   3364 monika    20   0  196788  24900  17648 S   0,0   0,2   0:00.45 ibus-x11
   3368 monika    20   0  239812   7680   6888 S   0,0   0,0   0:00.30 ibus-po+
   3375 monika    20   0  344896  15224  13188 S   0,0   0,1   0:00.09 gsd-pri+
   3415 monika    20   0 1392,2g 134520  53000 S   0,0   0,8   4:33.54 Discord
   3419 monika    20   0  802032 195248  31772 S   0,0   1,2   0:19.64 snap-st+
   3546 monika    20   0 2868284  28160  22652 S   0,0   0,2   0:00.32 gjs
   3559 monika    20   0  166152   7564   6620 S   0,0   0,0   0:16.16 ibus-en+
   3568 monika    39  19  651784  33848  21004 S   0,0   0,2   0:03.03 tracker+
